Talker,Age,Gender,category,Word,Token,Trial,Location,Duration,SR,F0,F1,F2,F3,Quantity
ref_yw_1,35,female,[ɑː],lat,3,39,35,0.252013665666098,180.453128894151,221.19072997218,701.25871160685,1080.59497986989,2792.13591889643,long
ref_yw_1,35,female,[ɑː],lat,3,39,50,0.252013665666098,180.453128894151,221.19072997218,715.069880914143,969.663024919483,2743.53990149684,long
ref_yw_1,35,female,[ɑː],lat,3,39,65,0.252013665666098,180.453128894151,221.19072997218,773.019327462264,955.790133104241,2693.09491427317,long
ref_yw_1,35,female,[ɑː],lat,3,39,80,0.252013665666098,180.453128894151,221.19072997218,691.423178500503,1017.99849039736,2613.38601537494,long
ref_yw_1,35,female,[ɛː],nät,4,40,20,0.27682932978577,180.453128894151,232.1579822728,679.283555788035,2041,2913,long
ref_yw_1,35,female,[ɛː],nät,4,40,35,0.27682932978577,180.453128894151,232.1579822728,695.738079133614,2135.88994859759,2899.99194234946,long
ref_yw_1,35,female,[ɛː],nät,4,40,50,0.27682932978577,180.453128894151,232.1579822728,674.403869502654,2126.48440258214,2936,long
ref_yw_1,35,female,[ɛː],nät,4,40,65,0.27682932978577,180.453128894151,232.1579822728,629.045237083741,2180.62023759548,2699,long
ref_yw_1,35,female,[ɛː],nät,4,40,80,0.27682932978577,180.453128894151,232.1579822728,650.30465833888,2167.36132110381,2958.71052886023,long
ref_yw_1,35,female,[ɛː],nät,5,41,20,0.277178607879165,180.453128894151,205.354536981018,663.247534893673,2181.8315909553,3047.65078658183,long
ref_yw_1,35,female,[ɛː],nät,5,41,35,0.277178607879165,180.453128894151,205.354536981018,659.314360611293,2184.11348763868,3005.99808051683,long
ref_yw_1,35,female,[ɛː],nät,5,41,50,0.277178607879165,180.453128894151,205.354536981018,634.665540617927,2207.86576189544,2979.4427526892,long
ref_yw_1,35,female,[ɛː],nät,5,41,65,0.277178607879165,180.453128894151,205.354536981018,634.817676613316,2222.5338480324,2991.74654587142,long
ref_yw_1,35,female,[ɛː],nät,5,41,80,0.277178607879165,180.453128894151,205.354536981018,645.979483988547,2165.82759144877,2905.12428502,long
ref_yw_1,35,female,[ɛː],nät,6,42,20,0.22394924204157,180.453128894151,203.389305114384,626.679098090621,2071,2862.85406979319,long
ref_yw_1,35,female,[ɛː],nät,6,42,35,0.22394924204157,180.453128894151,203.389305114384,633.833918786053,2133.88846487152,2876.00484560872,long
ref_yw_1,35,female,[ɛː],nät,6,42,50,0.22394924204157,180.453128894151,203.389305114384,620.934877226475,2221.17763537977,3029.01521300409,long
ref_yw_1,35,female,[ɛː],nät,6,42,65,0.22394924204157,180.453128894151,203.389305114384,606.281908228744,2218.28110627556,3002.24066564079,long
ref_yw_1,35,female,[ɛː],nät,6,42,80,0.22394924204157,180.453128894151,203.389305114384,635.011831807118,2229.0079349955,2969.98754130716,long
ref_yw_1,35,female,[ɪ],sitt,1,43,20,0.128804032303734,180.453128894151,226.103399448055,447.965400023701,2482.82885070969,3024.32558604624,short
ref_yw_1,35,female,[ɪ],sitt,1,43,35,0.128804032303734,180.453128894151,226.103399448055,441.388997860324,2637.50331194412,3074.7497892728,short
ref_yw_1,35,female,[ɪ],sitt,1,43,50,0.128804032303734,180.453128894151,226.103399448055,459.72668053982,2696.06896019982,3094.56128731505,short
ref_yw_1,35,female,[ɪ],sitt,1,43,65,0.128804032303734,180.453128894151,226.103399448055,413.448645301014,2727.03759307361,3143.74791361257,short
ref_yw_1,35,female,[ɪ],sitt,1,43,80,0.128804032303734,180.453128894151,226.103399448055,391.170632374256,2715.8300627713,3114.13597659329,short
ref_yw_1,35,female,[ɪ],sitt,2,44,20,0.146658056583462,180.453128894151,201.013735383537,439.28308419924,2565.98338098506,3109.13293163497,short
ref_yw_1,35,female,[ɪ],sitt,2,44,35,0.146658056583462,180.453128894151,201.013735383537,416.912225947337,2695.99812500801,3221.14976668596,short
ref_yw_1,35,female,[ɪ],sitt,2,44,50,0.146658056583462,180.453128894151,201.013735383537,412.866329495597,2780.56729047114,3260.24795158333,short
ref_yw_1,35,female,[ɪ],sitt,2,44,65,0.146658056583462,180.453128894151,201.013735383537,421.302193888034,2809.43549584218,3246.60064462113,short
ref_yw_1,35,female,[ɪ],sitt,2,44,80,0.146658056583462,180.453128894151,201.013735383537,410,2755.80220664269,3146,short
ref_yw_1,35,female,[ɪ],sitt,3,45,20,0.11367856001614,180.453128894151,209.143640670188,457.111208463746,2348,3021.36555978283,short
ref_yw_1,35,female,[ɪ],sitt,3,45,35,0.11367856001614,180.453128894151,209.143640670188,444.908335177775,2558.78432025681,3059.93381073997,short
ref_yw_1,35,female,[ɪ],sitt,3,45,50,0.11367856001614,180.453128894151,209.143640670188,423.837545839352,2655.74018374957,3068.40137117958,short
ref_yw_1,35,female,[ɪ],sitt,3,45,65,0.11367856001614,180.453128894151,209.143640670188,389.998044516897,2698.12516793518,3069.19173316791,short
ref_yw_1,35,female,[ɪ],sitt,3,45,80,0.11367856001614,180.453128894151,209.143640670188,362,2735.62605953424,3129.42875044594,short
ref_yw_1,35,female,[ɔ],lott,1,46,20,0.127473036197514,180.453128894151,246,576.393801206188,1536,2834.37921595439,short
ref_yw_1,35,female,[ɔ],lott,1,46,35,0.127473036197514,180.453128894151,246,616.815523452592,1127.67308089542,2785.791998437,short
ref_yw_1,35,female,[ɔ],lott,1,46,50,0.127473036197514,180.453128894151,246,643.947535887674,901.384679852399,2800.6956239581,short
ref_yw_1,35,female,[ɔ],lott,1,46,65,0.127473036197514,180.453128894151,246,641.078366477239,891.518792152868,2812.6585599738,short
ref_yw_1,35,female,[ɔ],lott,1,46,80,0.127473036197514,180.453128894151,246,607.352949746947,902.671069297129,2804.64187231247,short
ref_yw_1,35,female,[ɔ],lott,2,47,20,0.123264860611386,180.453128894151,220.392477325593,629.166213725507,1580,2771.43502059333,short
ref_yw_1,35,female,[ɔ],lott,2,47,35,0.123264860611386,180.453128894151,220.392477325593,651.329107893891,1276.92460934104,2824.52386449159,short
ref_yw_1,35,female,[ɔ],lott,2,47,50,0.123264860611386,180.453128894151,220.392477325593,653.882974317331,1121.65179796105,2850.48398303882,short
ref_yw_1,35,female,[ɔ],lott,2,47,65,0.123264860611386,180.453128894151,220.392477325593,645.498246957074,1010.93952727183,2837.68249096141,short
ref_yw_1,35,female,[ɔ],lott,2,47,80,0.123264860611386,180.453128894151,220.392477325593,614.971226349292,890.984234172387,2864.42667539031,short
ref_yw_1,35,female,[ɔ],lott,3,48,20,0.116528028206048,180.453128894151,216.35094715368,616.97664384289,1499,2884.24072907671,short
